id;year;day;datetm;min;ws_25;wd_25;tp_25;ws_50;wd_50;tp_50
25;2008;1;01/01/2008 00:00;0;7.440;154.00;23.83;8.530;152.00;23.52
25;2008;1;01/01/2008 00:10;10;7.990;154.20;23.66;8.690;153.30;23.36
25;2008;1;01/01/2008 00:20;20;7.270;154.00;23.54;8.360;153.60;23.24
25;2008;1;01/01/2008 00:30;30;7.290;156.30;23.43;8.130;154.90;23.13
25;2008;1;01/01/2008 00:40;40;6.877;161.80;23.36;7.550;160.30;23.07
25;2008;1;01/01/2008 00:50;50;7.440;159.90;23.24;8.680;157.90;22.94
25;2008;1;01/01/2008 01:00;60;7.170;164.00;23.14;8.150;162.50;22.84
25;2008;1;01/01/2008 01:10;70;7.280;163.20;23.05;8.590;161.40;22.75
25;2008;1;01/01/2008 01:20;80;6.013;165.20;22.99;6.873;161.50;22.68
25;2008;1;01/01/2008 01:30;90;6.548;159.50;22.83;7.400;156.00;22.54
25;2008;1;01/01/2008 01:40;100;6.500;166.60;22.65;7.200;163.50;22.37
25;2008;1;01/01/2008 01:50;110;4.890;161.90;22.60;5.611;158.80;22.30
25;2008;1;01/01/2008 02:00;120;5.667;156.50;22.41;6.404;154.40;22.09
25;2008;1;01/01/2008 02:10;130;5.970;159.90;22.27;6.734;158.50;21.97
25;2008;1;01/01/2008 02:20;140;6.436;163.20;22.17;7.560;162.20;21.86
25;2008;1;01/01/2008 02:30;150;5.630;167.30;22.05;6.474;164.40;21.75
25;2008;1;01/01/2008 02:40;160;5.745;169.00;21.94;6.663;166.60;21.64
25;2008;1;01/01/2008 02:50;170;5.960;166.20;21.86;6.776;164.80;21.57
25;2008;1;01/01/2008 03:00;180;5.655;165.60;21.77;6.383;165.00;21.48
25;2008;1;01/01/2008 03:10;190;4.871;167.80;21.65;5.691;166.90;21.38
25;2008;1;01/01/2008 03:20;200;4.951;169.40;21.56;5.625;168.70;21.26
25;2008;1;01/01/2008 03:30;210;4.299;169.60;21.47;5.037;166.30;21.19
25;2008;1;01/01/2008 03:40;220;3.937;170.20;21.44;4.832;166.10;21.18
25;2008;1;01/01/2008 03:50;230;3.980;170.00;21.47;4.551;168.50;21.18
25;2008;1;01/01/2008 04:00;240;3.879;169.90;21.51;4.471;168.30;21.21
25;2008;1;01/01/2008 04:10;250;4.387;175.40;21.51;5.056;175.20;21.21
25;2008;1;01/01/2008 04:20;260;4.476;169.90;21.46;5.192;168.20;21.14
25;2008;1;01/01/2008 04:30;270;4.654;161.90;21.52;5.227;161.00;21.23
25;2008;1;01/01/2008 04:40;280;3.523;161.80;21.58;4.258;160.00;21.27
25;2008;1;01/01/2008 04:50;290;3.734;157.40;21.59;4.220;156.80;21.31
25;2008;1;01/01/2008 05:00;300;3.980;157.80;21.66;4.625;156.60;21.33
25;2008;1;01/01/2008 05:10;310;5.003;158.40;21.70;5.457;155.10;21.39
25;2008;1;01/01/2008 05:20;320;4.812;155.30;21.65;5.250;154.60;21.35
25;2008;1;01/01/2008 05:30;330;5.289;155.50;21.50;6.104;156.10;21.21
25;2008;1;01/01/2008 05:40;340;5.135;161.40;21.39;6.006;159.30;21.10
25;2008;1;01/01/2008 05:50;350;4.971;167.30;21.29;5.837;165.80;21.04
25;2008;1;01/01/2008 06:00;360;4.859;170.60;21.16;5.831;169.50;20.91
25;2008;1;01/01/2008 06:10;370;4.762;168.00;21.04;5.747;166.00;20.80
25;2008;1;01/01/2008 06:20;380;4.397;169.00;20.95;5.215;166.60;20.70
25;2008;1;01/01/2008 06:30;390;3.915;167.60;20.90;4.848;165.30;20.65
25;2008;1;01/01/2008 06:40;400;3.342;165.80;20.79;4.218;165.00;20.58
25;2008;1;01/01/2008 06:50;410;3.104;165.30;20.71;3.830;164.40;20.49
25;2008;1;01/01/2008 07:00;420;2.684;162.90;20.61;3.382;163.20;20.41
25;2008;1;01/01/2008 07:10;430;2.521;161.20;20.58;2.872;162.30;20.36
25;2008;1;01/01/2008 07:20;440;2.314;165.90;20.55;2.992;167.20;20.33
25;2008;1;01/01/2008 07:30;450;2.278;169.80;20.48;2.924;170.40;20.23
25;2008;1;01/01/2008 07:40;460;2.262;172.70;20.31;2.792;171.90;20.08
25;2008;1;01/01/2008 07:50;470;2.147;162.60;20.24;2.614;165.30;20.08
25;2008;1;01/01/2008 08:00;480;2.380;159.00;20.27;3.107;162.90;20.14
25;2008;1;01/01/2008 08:10;490;1.753;183.30;20.16;2.386;181.50;20.02
25;2008;1;01/01/2008 08:20;500;1.787;183.10;20.12;2.351;180.80;19.98
25;2008;1;01/01/2008 08:30;510;1.835;180.40;20.14;2.664;179.40;20.01
25;2008;1;01/01/2008 08:40;520;1.702;182.30;20.12;2.810;180.90;20.04
25;2008;1;01/01/2008 08:50;530;1.889;181.60;20.15;2.940;178.40;19.98
25;2008;1;01/01/2008 09:00;540;1.674;189.60;20.43;2.094;181.90;20.09
25;2008;1;01/01/2008 09:10;550;2.471;180.10;20.77;3.008;179.00;20.38
25;2008;1;01/01/2008 09:20;560;3.436;171.80;21.00;3.625;169.00;20.61
25;2008;1;01/01/2008 09:30;570;3.169;171.00;20.94;3.564;168.10;20.59
25;2008;1;01/01/2008 09:40;580;4.416;169.30;21.25;4.982;166.40;20.86
25;2008;1;01/01/2008 09:50;590;4.633;161.70;21.51;4.663;160.50;21.13
25;2008;1;01/01/2008 10:00;600;5.152;167.80;21.74;5.574;166.70;21.34
25;2008;1;01/01/2008 10:10;610;5.293;169.00;22.22;6.111;169.20;21.76
25;2008;1;01/01/2008 10:20;620;5.233;169.20;22.52;5.994;166.50;22.05
25;2008;1;01/01/2008 10:30;630;7.400;168.20;22.90;8.040;167.60;22.48
25;2008;1;01/01/2008 10:40;640;6.922;167.30;23.11;7.350;166.30;22.65
25;2008;1;01/01/2008 10:50;650;7.380;174.70;23.49;8.190;172.90;22.95
25;2008;1;01/01/2008 11:00;660;6.664;171.20;23.33;7.330;169.00;22.86
25;2008;1;01/01/2008 11:10;670;6.485;178.00;23.33;6.924;176.90;22.92
25;2008;1;01/01/2008 11:20;680;6.366;167.80;23.48;7.040;165.60;23.01
25;2008;1;01/01/2008 11:30;690;6.224;172.80;23.69;6.633;171.30;23.30
25;2008;1;01/01/2008 11:40;700;6.280;188.20;24.04;6.863;187.50;23.61
25;2008;1;01/01/2008 11:50;710;5.342;173.30;24.64;5.617;169.20;24.19
25;2008;1;01/01/2008 12:00;720;5.752;184.70;24.72;6.188;179.50;24.32
25;2008;1;01/01/2008 12:10;730;5.672;188.20;25.23;6.261;185.80;24.75
25;2008;1;01/01/2008 12:20;740;6.258;190.10;25.56;6.523;186.10;25.11
25;2008;1;01/01/2008 12:30;750;5.080;157.80;25.35;5.606;159.10;24.90
25;2008;1;01/01/2008 12:40;760;5.753;166.80;25.68;6.152;163.50;25.14
25;2008;1;01/01/2008 12:50;770;5.562;172.30;25.93;6.044;169.70;25.41
25;2008;1;01/01/2008 13:00;780;4.469;162.30;26.37;5.188;155.60;25.73
25;2008;1;01/01/2008 13:10;790;5.032;180.40;26.55;5.068;171.80;26.14
25;2008;1;01/01/2008 13:20;800;6.150;159.50;26.44;6.388;159.50;25.94
25;2008;1;01/01/2008 13:30;810;4.355;193.20;26.86;4.759;186.60;26.48
25;2008;1;01/01/2008 13:40;820;4.964;172.30;27.19;5.348;171.30;26.69
25;2008;1;01/01/2008 13:50;830;4.970;171.90;27.31;5.610;168.80;26.73
25;2008;1;01/01/2008 14:00;840;5.146;153.70;27.42;5.363;156.40;26.92
25;2008;1;01/01/2008 14:10;850;4.981;180.70;27.84;5.368;179.80;27.40
25;2008;1;01/01/2008 14:20;860;5.319;161.90;28.14;5.656;161.00;27.67
25;2008;1;01/01/2008 14:30;870;4.183;188.50;28.46;4.446;184.00;27.99
25;2008;1;01/01/2008 14:40;880;4.898;203.30;28.93;5.164;198.90;28.40
25;2008;1;01/01/2008 14:50;890;5.635;176.30;28.99;5.871;173.90;28.50
25;2008;1;01/01/2008 15:00;900;4.727;197.50;29.37;5.248;193.00;28.98
25;2008;1;01/01/2008 15:10;910;4.379;198.10;29.28;4.807;194.70;28.81
25;2008;1;01/01/2008 15:20;920;4.541;189.30;29.97;5.209;185.40;29.29
25;2008;1;01/01/2008 15:30;930;5.610;156.20;29.55;6.083;151.70;29.06
25;2008;1;01/01/2008 15:40;940;5.829;169.40;29.53;5.745;173.80;29.19
25;2008;1;01/01/2008 15:50;950;3.758;180.90;29.71;4.062;180.90;29.34
25;2008;1;01/01/2008 16:00;960;5.751;178.20;30.15;5.948;179.40;29.70
25;2008;1;01/01/2008 16:10;970;5.275;178.80;30.43;5.835;180.30;29.94
25;2008;1;01/01/2008 16:20;980;4.833;191.10;30.85;5.036;186.30;30.30
25;2008;1;01/01/2008 16:30;990;5.181;169.50;30.86;5.660;165.90;30.34
25;2008;1;01/01/2008 16:40;1000;4.832;150.50;30.74;5.330;148.60;30.29
25;2008;1;01/01/2008 16:50;1010;4.590;192.50;31.09;5.197;182.10;30.64
25;2008;1;01/01/2008 17:00;1020;4.338;191.90;31.22;4.773;189.20;30.70
25;2008;1;01/01/2008 17:10;1030;4.667;158.30;30.88;5.317;152.80;30.45
25;2008;1;01/01/2008 17:20;1040;4.974;141.90;31.18;5.544;140.40;30.69
25;2008;1;01/01/2008 17:30;1050;6.366;191.90;31.09;6.640;190.50;30.71
25;2008;1;01/01/2008 17:40;1060;5.317;159.40;31.15;5.642;156.70;30.74
25;2008;1;01/01/2008 17:50;1070;5.605;150.30;31.00;5.851;151.20;30.58
25;2008;1;01/01/2008 18:00;1080;6.145;142.10;31.16;6.631;139.30;30.69
25;2008;1;01/01/2008 18:10;1090;6.631;156.00;31.60;7.440;152.20;31.10
25;2008;1;01/01/2008 18:20;1100;5.535;153.30;31.57;5.918;153.30;31.08
25;2008;1;01/01/2008 18:30;1110;5.485;161.10;31.67;5.937;156.00;31.26
25;2008;1;01/01/2008 18:40;1120;7.160;155.00;31.45;7.950;154.90;31.00
25;2008;1;01/01/2008 18:50;1130;6.637;158.90;31.71;7.440;156.50;31.25
25;2008;1;01/01/2008 19:00;1140;6.546;159.20;31.51;7.210;158.30;31.10
25;2008;1;01/01/2008 19:10;1150;6.279;152.40;31.29;6.954;148.50;30.94
25;2008;1;01/01/2008 19:20;1160;7.030;155.50;31.33;7.900;154.50;30.95
25;2008;1;01/01/2008 19:30;1170;7.780;160.50;31.40;8.520;159.80;30.96
25;2008;1;01/01/2008 19:40;1180;7.470;149.20;31.43;8.280;146.70;30.99
25;2008;1;01/01/2008 19:50;1190;7.160;148.00;31.32;7.900;144.70;30.92
25;2008;1;01/01/2008 20:00;1200;6.781;155.30;31.31;7.430;152.30;30.90
25;2008;1;01/01/2008 20:10;1210;7.210;156.20;30.93;8.260;153.20;30.55
25;2008;1;01/01/2008 20:20;1220;7.990;148.50;30.59;9.230;146.80;30.23
25;2008;1;01/01/2008 20:30;1230;8.540;151.00;30.30;9.570;149.10;29.97
25;2008;1;01/01/2008 20:40;1240;7.760;150.70;30.09;8.790;148.50;29.78
25;2008;1;01/01/2008 20:50;1250;7.200;150.40;29.88;8.330;147.90;29.58
25;2008;1;01/01/2008 21:00;1260;8.280;155.00;29.57;9.550;152.30;29.25
25;2008;1;01/01/2008 21:10;1270;8.070;151.00;29.23;9.190;148.30;28.91
25;2008;1;01/01/2008 21:20;1280;9.060;147.90;28.85;10.270;145.90;28.54
25;2008;1;01/01/2008 21:30;1290;8.830;152.20;28.62;9.940;150.10;28.32
25;2008;1;01/01/2008 21:40;1300;8.820;150.50;28.32;9.790;148.40;28.04
25;2008;1;01/01/2008 21:50;1310;8.910;153.90;28.14;9.920;151.80;27.86
25;2008;1;01/01/2008 22:00;1320;8.970;157.50;27.92;10.000;154.50;27.62
25;2008;1;01/01/2008 22:10;1330;10.530;157.60;27.37;11.870;155.10;27.05
25;2008;1;01/01/2008 22:20;1340;10.980;152.40;26.70;12.160;150.00;26.38
25;2008;1;01/01/2008 22:30;1350;8.400;155.50;26.41;9.290;152.80;26.11
25;2008;1;01/01/2008 22:40;1360;9.290;154.40;26.07;10.330;152.10;25.76
25;2008;1;01/01/2008 22:50;1370;9.210;153.80;25.79;10.570;151.50;25.47
25;2008;1;01/01/2008 23:00;1380;10.360;154.00;25.53;11.530;151.20;25.22
25;2008;1;01/01/2008 23:10;1390;9.550;157.20;25.35;11.020;155.90;25.05
25;2008;1;01/01/2008 23:20;1400;8.800;159.10;25.20;9.590;157.30;24.91
25;2008;1;01/01/2008 23:30;1410;9.020;160.40;25.03;9.920;160.00;24.73
25;2008;1;01/01/2008 23:40;1420;6.752;167.00;24.86;7.500;165.20;24.58
25;2008;1;01/01/2008 23:50;1430;7.600;161.10;24.70;8.650;158.60;24.41
25;2008;2;02/01/2008 00:00;0;8.010;160.20;24.48;9.050;157.90;24.18
25;2008;2;02/01/2008 00:10;10;6.735;157.90;24.32;7.370;157.00;24.02
25;2008;2;02/01/2008 00:20;20;6.266;158.70;24.17;7.020;157.50;23.88
25;2008;2;02/01/2008 00:30;30;6.043;162.00;24.05;6.911;159.30;23.77
25;2008;2;02/01/2008 00:40;40;7.320;163.60;23.94;8.130;161.70;23.64
25;2008;2;02/01/2008 00:50;50;5.079;164.10;23.80;5.818;162.70;23.53
25;2008;2;02/01/2008 01:00;60;5.970;166.90;23.70;6.792;165.10;23.42
25;2008;2;02/01/2008 01:10;70;5.692;169.70;23.57;6.505;168.70;23.29
25;2008;2;02/01/2008 01:20;80;5.860;168.00;23.46;6.799;163.80;23.18
25;2008;2;02/01/2008 01:30;90;5.021;174.40;23.27;6.018;172.80;23.01
25;2008;2;02/01/2008 01:40;100;6.266;172.60;23.13;6.976;171.90;22.87
25;2008;2;02/01/2008 01:50;110;6.386;174.90;22.99;7.200;172.00;22.73
25;2008;2;02/01/2008 02:00;120;6.331;173.20;22.83;7.440;172.30;22.56
25;2008;2;02/01/2008 02:10;130;7.020;170.20;22.69;8.060;167.90;22.40
25;2008;2;02/01/2008 02:20;140;6.560;168.00;22.51;7.460;167.30;22.23
25;2008;2;02/01/2008 02:30;150;5.793;166.10;22.36;6.446;164.40;22.09
25;2008;2;02/01/2008 02:40;160;6.705;165.10;22.19;7.600;162.60;21.88
25;2008;2;02/01/2008 02:50;170;6.818;165.60;21.98;7.730;164.20;21.68
25;2008;2;02/01/2008 03:00;180;6.421;169.10;21.83;7.280;165.10;21.57
25;2008;2;02/01/2008 03:10;190;5.756;169.20;21.73;6.507;166.80;21.45
25;2008;2;02/01/2008 03:20;200;5.855;172.80;21.63;6.849;172.20;21.37
25;2008;2;02/01/2008 03:30;210;5.995;171.30;21.53;6.772;169.60;21.25
25;2008;2;02/01/2008 03:40;220;4.515;168.00;21.38;5.246;166.80;21.10
25;2008;2;02/01/2008 03:50;230;4.951;170.90;21.27;5.753;168.70;21.00
25;2008;2;02/01/2008 04:00;240;5.838;173.50;21.18;6.786;172.10;20.91
25;2008;2;02/01/2008 04:10;250;5.777;169.70;21.10;6.512;168.40;20.83
25;2008;2;02/01/2008 04:20;260;6.088;167.30;21.05;7.380;165.70;20.76
25;2008;2;02/01/2008 04:30;270;7.110;167.10;21.05;8.270;166.90;20.75
25;2008;2;02/01/2008 04:40;280;6.055;166.40;20.95;7.010;165.20;20.69
25;2008;2;02/01/2008 04:50;290;6.190;167.60;20.90;6.950;166.40;20.62
25;2008;2;02/01/2008 05:00;300;5.573;170.60;20.79;6.487;169.10;20.54
25;2008;2;02/01/2008 05:10;310;5.201;172.90;20.74;6.121;171.80;20.47
25;2008;2;02/01/2008 05:20;320;4.976;176.70;20.64;5.696;173.60;20.40
25;2008;2;02/01/2008 05:30;330;3.529;182.20;20.47;4.491;180.00;20.28
25;2008;2;02/01/2008 05:40;340;3.827;178.20;20.39;4.933;177.70;20.18
25;2008;2;02/01/2008 05:50;350;3.570;176.20;20.26;4.421;175.60;20.03
25;2008;2;02/01/2008 06:00;360;3.229;173.00;20.14;4.126;171.00;19.91
25;2008;2;02/01/2008 06:10;370;2.977;179.20;20.02;3.959;176.20;19.80
25;2008;2;02/01/2008 06:20;380;2.966;175.80;19.92;3.868;173.30;19.74
25;2008;2;02/01/2008 06:30;390;2.754;171.30;19.81;3.942;169.20;19.66
25;2008;2;02/01/2008 06:40;400;2.327;176.40;19.70;3.565;172.50;19.59
25;2008;2;02/01/2008 06:50;410;2.176;175.10;19.61;3.409;170.40;19.55
25;2008;2;02/01/2008 07:00;420;2.639;177.90;19.65;4.030;172.20;19.61
25;2008;2;02/01/2008 07:10;430;1.929;183.10;19.60;3.166;176.50;19.51
25;2008;2;02/01/2008 07:20;440;1.665;182.20;19.53;2.952;177.80;19.45
25;2008;2;02/01/2008 07:30;450;0.963;179.00;19.47;2.136;176.10;19.37
25;2008;2;02/01/2008 07:40;460;1.062;183.30;19.46;2.236;174.80;19.35
25;2008;2;02/01/2008 07:50;470;1.140;175.00;19.42;2.204;169.20;19.29
25;2008;2;02/01/2008 08:00;480;1.491;172.80;19.35;2.742;163.90;19.35
25;2008;2;02/01/2008 08:10;490;1.882;170.70;19.29;3.022;163.90;19.39
25;2008;2;02/01/2008 08:20;500;1.632;177.70;19.20;2.215;164.70;19.32
25;2008;2;02/01/2008 08:30;510;1.466;184.00;19.18;1.745;162.90;19.27
25;2008;2;02/01/2008 08:40;520;1.367;178.80;19.29;2.199;161.60;19.40
25;2008;2;02/01/2008 08:50;530;1.264;175.40;19.47;2.382;160.80;19.47
25;2008;2;02/01/2008 09:00;540;1.217;150.40;19.84;1.998;150.60;19.61
25;2008;2;02/01/2008 09:10;550;1.636;144.70;20.12;1.726;150.30;19.76
25;2008;2;02/01/2008 09:20;560;1.580;167.70;20.43;2.130;159.20;19.96
25;2008;2;02/01/2008 09:30;570;2.418;160.60;20.59;2.550;159.20;20.20
25;2008;2;02/01/2008 09:40;580;2.811;170.50;20.96;2.812;167.50;20.57
25;2008;2;02/01/2008 09:50;590;2.877;174.30;21.35;3.261;169.50;20.91
25;2008;2;02/01/2008 10:00;600;4.082;166.00;21.79;4.142;163.80;21.38
25;2008;2;02/01/2008 10:10;610;4.531;159.80;22.27;4.681;157.10;21.87
25;2008;2;02/01/2008 10:20;620;4.834;162.10;22.41;4.988;158.50;22.04
25;2008;2;02/01/2008 10:30;630;6.033;155.80;22.69;6.529;153.60;22.27
25;2008;2;02/01/2008 10:40;640;5.917;159.50;22.73;6.420;156.20;22.32
25;2008;2;02/01/2008 10:50;650;6.056;154.90;23.22;6.418;153.90;22.73
25;2008;2;02/01/2008 11:00;660;4.822;154.40;23.24;5.222;150.30;22.87
25;2008;2;02/01/2008 11:10;670;5.377;151.90;24.01;5.947;150.30;23.53
25;2008;2;02/01/2008 11:20;680;6.399;156.30;23.94;6.883;155.20;23.46
25;2008;2;02/01/2008 11:30;690;6.240;157.00;24.22;6.630;154.70;23.69
25;2008;2;02/01/2008 11:40;700;6.749;142.10;24.29;7.310;142.00;23.72
25;2008;2;02/01/2008 11:50;710;6.403;150.70;24.51;7.110;148.40;23.97
25;2008;2;02/01/2008 12:00;720;6.842;139.70;24.75;7.330;138.70;24.33
25;2008;2;02/01/2008 12:10;730;6.848;154.20;24.80;7.170;152.90;24.36
25;2008;2;02/01/2008 12:20;740;5.431;167.10;25.32;5.754;164.10;24.89
25;2008;2;02/01/2008 12:30;750;6.447;167.00;25.46;6.676;163.00;25.11
25;2008;2;02/01/2008 12:40;760;5.459;164.80;26.06;6.106;161.50;25.56
25;2008;2;02/01/2008 12:50;770;5.831;163.70;26.27;6.159;160.10;25.76
25;2008;2;02/01/2008 13:00;780;6.156;166.90;26.42;6.449;165.60;25.97
25;2008;2;02/01/2008 13:10;790;5.127;150.60;26.68;5.553;149.00;26.12
25;2008;2;02/01/2008 13:20;800;5.310;138.60;26.92;5.442;137.60;26.55
25;2008;2;02/01/2008 13:30;810;5.080;147.40;27.39;5.664;144.50;26.77
25;2008;2;02/01/2008 13:40;820;4.928;151.30;27.53;5.210;147.10;26.96
25;2008;2;02/01/2008 13:50;830;4.332;163.00;28.19;4.442;166.30;27.76
25;2008;2;02/01/2008 14:00;840;4.838;150.90;27.85;5.262;149.10;27.44
25;2008;2;02/01/2008 14:10;850;5.016;144.20;28.05;5.098;146.80;27.61
25;2008;2;02/01/2008 14:20;860;4.788;156.10;28.13;5.169;157.30;27.68
25;2008;2;02/01/2008 14:30;870;5.559;199.60;28.62;5.625;197.00;28.18
25;2008;2;02/01/2008 14:40;880;4.664;198.40;28.68;4.707;193.20;28.26
25;2008;2;02/01/2008 14:50;890;2.505;141.90;29.01;2.581;152.70;28.61
25;2008;2;02/01/2008 15:00;900;2.660;206.50;29.42;2.941;197.50;29.01
25;2008;2;02/01/2008 15:10;910;3.454;167.30;29.97;3.882;163.20;29.40
25;2008;2;02/01/2008 15:20;920;4.267;143.70;29.78;4.523;142.20;29.26
25;2008;2;02/01/2008 15:30;930;5.267;183.40;29.97;5.555;185.60;29.45
25;2008;2;02/01/2008 15:40;940;1.864;203.10;29.87;1.646;209.80;29.51
25;2008;2;02/01/2008 15:50;950;3.967;182.10;30.12;4.343;180.70;29.76
25;2008;2;02/01/2008 16:00;960;2.994;165.30;30.21;3.216;167.80;29.70
25;2008;2;02/01/2008 16:10;970;2.900;129.60;30.31;2.772;128.90;29.83
25;2008;2;02/01/2008 16:20;980;3.164;141.10;30.48;3.469;141.10;30.07
25;2008;2;02/01/2008 16:30;990;3.626;133.20;30.68;3.782;134.60;30.08
25;2008;2;02/01/2008 16:40;1000;4.128;131.80;31.05;4.385;131.30;30.57
25;2008;2;02/01/2008 16:50;1010;2.106;144.30;31.47;2.386;128.30;31.02
25;2008;2;02/01/2008 17:00;1020;4.290;174.40;31.14;4.673;173.30;30.53
25;2008;2;02/01/2008 17:10;1030;3.700;196.50;31.22;3.677;187.70;30.80
25;2008;2;02/01/2008 17:20;1040;3.974;168.80;31.14;4.194;164.00;30.75
25;2008;2;02/01/2008 17:30;1050;3.232;189.80;31.24;3.385;182.70;30.84
25;2008;2;02/01/2008 17:40;1060;3.641;155.00;31.47;3.893;154.40;30.97
25;2008;2;02/01/2008 17:50;1070;4.595;174.10;31.75;4.724;173.20;31.38
25;2008;2;02/01/2008 18:00;1080;6.698;160.30;31.41;7.080;158.20;30.95
25;2008;2;02/01/2008 18:10;1090;3.999;148.90;31.40;4.353;149.60;30.99
25;2008;2;02/01/2008 18:20;1100;5.266;167.40;31.72;5.693;165.30;31.23
25;2008;2;02/01/2008 18:30;1110;4.143;175.00;31.25;4.363;171.80;30.90
25;2008;2;02/01/2008 18:40;1120;3.924;139.30;31.40;4.148;141.50;31.07
25;2008;2;02/01/2008 18:50;1130;3.945;167.80;31.80;4.653;167.00;31.36
25;2008;2;02/01/2008 19:00;1140;5.548;166.60;31.81;6.104;164.80;31.37
25;2008;2;02/01/2008 19:10;1150;5.000;183.70;31.68;5.341;181.80;31.23
25;2008;2;02/01/2008 19:20;1160;3.471;194.00;31.52;3.461;185.50;31.18
25;2008;2;02/01/2008 19:30;1170;4.629;160.70;31.77;5.138;157.40;31.40
25;2008;2;02/01/2008 19:40;1180;3.609;168.80;31.77;3.867;169.80;31.39
25;2008;2;02/01/2008 19:50;1190;5.591;159.90;31.79;6.124;158.20;31.39
25;2008;2;02/01/2008 20:00;1200;4.779;180.70;31.61;5.356;177.00;31.23
25;2008;2;02/01/2008 20:10;1210;5.458;154.40;31.51;6.172;152.90;31.16
25;2008;2;02/01/2008 20:20;1220;6.145;159.90;31.40;6.688;158.80;31.09
25;2008;2;02/01/2008 20:30;1230;5.082;157.80;31.36;5.789;157.00;31.06
25;2008;2;02/01/2008 20:40;1240;5.992;159.00;31.13;6.746;156.90;30.83
25;2008;2;02/01/2008 20:50;1250;7.960;148.20;30.48;8.940;146.30;30.13
25;2008;2;02/01/2008 21:00;1260;9.460;144.70;29.70;10.620;142.10;29.35
